CO(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,AH,hola1
1,-200,10,0,977,83,736,90,1733,25,
1,-200,7,6,882,77,791,87,1662,25,5115
0,-200,3,4,679,-200,1010,-200,1501,26,5654
-200,3,3,668,37,1043,54,1513,737,3,6150
0,-200,2,9,647,50,1046,61,1500,25,6396
0,-200,5,6,795,60,888,63,1629,24,6082
2,-200,17,5,1225,179,620,102,2077,25,4693
4,-200,29,0,1526,300,476,149,2559,27,4991
2,-200,17,0,1210,263,595,147,2052,29,5557
2,-200,15,6,1168,265,650,158,1952,33,4313
1,-200,10,1,980,164,777,112,1745,34,4036
1,-200,11,7,1040,122,720,108,1810,35,4868
1,-200,12,0,1051,125,730,120,1771,36,4229
1,-200,11,0,1015,125,763,117,1732,38,543
1,-200,11,2,1021,115,745,119,1735,38,590
1,-200,10,5,995,162,778,149,1681,37,
2,-200,11,8,1043,149,804,174,1647,34,9623
2,-200,13,8,1110,161,757,163,1691,33,9736
3,17,3,1220,201,739,161,1729,1077,4,338
2,-200,14,2,1124,209,752,154,1688,29,935
1,-200,10,7,1004,133,817,124,1588,27,1125
2,-200,12,7,1073,133,745,122,1693,26,1118
1,-200,10,1,983,134,780,119,1643,25,1571
2,-200,13,1,1087,164,705,131,1738,24,1991
1,-200,7,4,874,72,854,84,1528,24,1629
0,-200,4,6,745,50,968,77,1461,23,1844
0,-200,4,7,750,-200,932,-200,1494,21,1760
0,-200,2,8,639,27,1077,41,1371,22,2086
0,-200,4,5,739,74,964,68,1479,20,2344
0,-200,5,9,809,69,912,69,1530,20,2921
1,-200,11,1,1017,162,722,101,1743,21,2883
2,-200,14,4,1130,208,648,120,1885,23,1067
1,-200,11,1,1016,168,712,124,1725,25,9465
1,-200,9,9,976,139,781,113,1669,29,9177
1,-200,8,8,930,104,872,97,1536,33,9998
1,-200,9,9,973,99,865,94,1550,36,9721
1,-200,7,4,873,89,946,86,1436,36,933
0,-200,6,1,817,57,992,70,1426,37,789
0,-200,6,2,822,64,1002,70,1391,37,9561
1,-200,7,1,862,65,930,82,1479,38,9462
1,-200,8,0,900,79,909,93,1524,36,1792
1,-200,7,3,869,80,942,89,1454,35,2022
1,-200,8,7,926,81,905,90,1484,31,
1,-200,7,5,880,59,864,67,1537,29,3473
1,-200,9,0,940,90,822,94,1658,27,5252
2,11,6,1035,122,728,109,1726,1150,7,3476
1,-200,10,2,985,120,742,103,1710,25,3805
2,-200,12,3,1060,126,660,101,1840,24,3891
1,-200,6,4,831,68,847,71,1585,24,4094
1,-200,7,2,864,65,816,71,1639,22,3994
0,-200,6,1,816,-200,846,-200,1613,22,4178
0,-200,4,3,725,38,949,49,1550,21,5177
0,-200,3,8,702,31,971,43,1528,20,5731
0,-200,4,0,708,40,972,44,1559,21,
0,-200,4,2,723,36,968,42,1573,23,
1,-200,6,1,817,64,835,69,1669,23,
1,6,0,810,56,859,65,1634,772,4,2933
1,5,9,809,56,877,68,1606,690,6,2220
1,5,4,783,43,939,58,1543,586,9,9942
0,-200,4,9,757,40,1007,52,1459,35,149
0,-200,3,9,703,34,1076,46,1394,37,613
0,-200,3,2,664,28,1185,40,1270,38,8211
0,-200,4,1,718,32,1109,47,1307,39,7749
0,-200,4,0,708,39,1106,56,1331,38,9345
0,-200,4,8,752,52,1102,64,1298,37,9869
0,-200,5,5,788,60,1064,71,1310,35,806
1,-200,9,1,942,104,900,103,1541,32,1842
1,-200,9,1,944,102,866,97,1541,30,2452
1,-200,10,1,981,120,817,108,1631,28,1845
1,-200,7,4,876,89,853,87,1580,26,1499
1,-200,9,9,973,121,766,104,1656,25,1589
1,-200,9,0,939,107,790,93,1635,24,1761
0,-200,3,7,692,41,1034,55,1412,25,
0,-200,3,0,652,34,1075,49,1405,22,1665
0,-200,2,5,618,-200,1097,-200,1400,21,1654
-200,2,6,624,41,1073,56,1422,729,7,
0,-200,2,4,613,38,1120,43,1387,21,988
0,-200,5,6,792,59,906,57,1521,21,9953
2,14,3,1125,165,697,80,1815,1179,6,10
3,-200,27,7,1496,287,519,134,2311,23,48
3,-200,19,1,1272,317,632,157,1901,26,636
3,-200,15,9,1176,330,691,175,1779,30,914
2,-200,12,3,1060,204,798,147,1638,34,1020
2,-200,12,2,1057,189,778,140,1633,36,
2,-200,11,7,1041,165,783,137,1641,37,1699
1,-200,10,4,994,139,813,123,1580,39,
2,12,7,1074,156,776,138,1671,960,4,2437
1,-200,11,1,1018,130,791,132,1624,40,1747
3,19,0,1269,173,633,174,1942,1221,3,2501
4,-200,24,1,1405,302,584,203,2072,37,2776
3,-200,19,1,1270,239,654,176,1906,33,3207
2,-200,13,6,1105,139,732,125,1768,30,3249
1,-200,10,7,1004,92,776,98,1684,28,3700
1,-200,11,3,1025,104,738,103,1757,27,3461
1,-200,9,6,962,108,776,104,1674,26,3677
1,-200,9,8,971,107,752,105,1694,25,3607
0,-200,4,9,761,55,931,75,1497,25,3361
0,-200,4,1,718,43,965,60,1510,23,3539
0,-200,3,3,671,-200,1012,-200,1477,23,3529
0,-200,2,2,602,23,1123,36,1410,23,3546
0,-200,4,6,743,65,931,66,1540,21,3422
1,-200,10,2,985,165,742,97,1780,21,3556
3,-200,23,3,1386,274,565,115,2196,22,4135
5,-200,31,0,1575,369,472,145,2460,24,4404
3,-200,17,6,1227,308,611,162,1954,26,3701
2,-200,14,3,1125,227,675,147,1835,30,2028
2,-200,13,7,1108,178,693,132,1818,34,1410
3,-200,19,3,1276,267,631,179,1953,38,
3,-200,19,3,1278,278,657,174,1892,39,9332
1,-200,11,3,1026,165,794,132,1622,39,8894
2,12,7,1075,172,789,151,1604,917,2,9015
2,-200,15,3,1157,216,762,168,1674,39,9444
3,-200,22,5,1364,306,661,192,1845,39,
4,-200,25,0,1430,317,632,194,1946,37,9889
3,-200,21,1,1327,251,654,155,1864,34,9793
4,23,8,1398,230,613,159,1975,1834,6,1018
2,-200,14,9,1145,154,737,125,1717,30,1381
2,-200,12,8,1078,137,765,108,1668,28,1377
2,-200,14,3,1128,133,681,110,1737,27,1065
2,-200,14,3,1128,117,675,99,1771,26,1109
1,-200,9,2,948,106,773,95,1609,26,1096
0,-200,5,1,767,55,931,69,1463,25,1077
0,-200,3,0,655,-200,1046,-200,1377,24,1522
0,-200,2,6,626,27,1073,45,1362,25,1808
0,-200,4,0,709,46,997,53,1432,24,2036
1,-200,9,9,976,144,740,88,1673,23,
4,-200,27,3,1486,392,512,136,2305,24,1398
4,-200,27,9,1500,358,496,141,2275,26,
4,24,5,1415,381,572,189,2081,1902,6,
2,-200,14,2,1122,261,730,166,1707,34,8012
2,11,9,1045,207,761,154,1623,1260,3,8478
2,13,1,1088,155,741,149,1640,1124,4,8872
2,-200,15,1,1152,193,739,142,1683,42,154
2,-200,14,1,1120,195,743,130,1629,42,106
1,-200,11,3,1024,159,792,121,1555,41,960
1,-200,10,8,1007,120,799,116,1546,41,1646
3,-200,21,5,1339,228,635,177,1925,39,1658
4,-200,21,8,1347,348,599,233,1903,36,2671
5,-200,29,8,1546,337,538,223,2199,35,3055
4,-200,22,5,1364,282,597,184,2005,33,3026
3,-200,21,8,1346,228,580,165,2017,31,2502
2,-200,17,1,1214,168,620,132,1880,31,2361
2,-200,15,4,1161,173,661,122,1827,30,2310
1,-200,10,2,983,87,749,88,1627,29,2243
0,-200,7,2,864,65,809,79,1532,28,
0,-200,5,8,803,43,853,60,1507,27,2545
0,-200,4,2,723,-200,910,-200,1443,26,2518
-200,5,1,769,43,866,60,1485,1063,5,2289
0,-200,5,4,784,66,839,74,1503,25,2441
0,-200,6,2,821,57,848,62,1511,27,
2,-200,16,9,1208,231,603,115,1914,25,3693
3,-200,23,2,1384,219,545,119,2082,28,3586
3,18,0,1240,288,596,155,1919,1847,5,1604
2,-200,17,6,1227,312,595,162,1903,29,1989
3,-200,20,3,1306,361,587,189,1934,33,2071
1,-200,10,6,1000,147,801,115,1538,40,1944
1,-200,9,9,972,111,819,109,1525,41,1140
1,-200,10,7,1004,98,788,108,1609,41,1705
2,-200,16,5,1196,156,673,145,1775,41,6308
2,-200,16,9,1206,213,671,167,1807,40,6110
3,-200,20,5,1310,250,628,200,1891,39,3515
3,-200,19,4,1281,253,580,178,2021,36,3044
5,-200,30,0,1552,317,487,206,2371,34,2742
4,-200,24,6,1419,309,559,192,2113,33,4383
2,-200,16,9,1206,201,648,137,1900,32,3800
2,-200,15,8,1175,173,660,128,1834,30,5370
2,-200,16,6,1198,156,628,121,1934,29,
3,-200,19,5,1282,190,575,136,1996,29,6039
2,-200,16,6,1198,129,564,109,1905,27,5177
1,6,2,822,65,823,74,1585,1050,9,4713
0,-200,2,7,631,-200,1070,-200,1458,27,
0,-200,2,3,605,29,1144,40,1432,27,3081
0,-200,3,9,707,58,1011,61,1509,26,2396
1,7,2,866,92,847,83,1636,744,9,1545
2,-200,18,1,1241,228,609,129,1989,27,592
2,-200,15,1,1153,172,654,-200,1877,27,9902
1,-200,9,7,966,154,785,115,1640,27,9587
1,-200,9,4,955,166,829,130,1527,30,325
1,-200,9,6,964,149,828,137,1546,32,399
1,-200,9,5,959,111,856,116,1544,33,195
1,-200,9,6,962,145,845,129,1545,34,9150
1,-200,9,6,962,105,846,117,1527,34,8124
1,-200,10,3,990,113,822,138,1577,33,7526
1,-200,10,2,985,115,845,139,1554,32,9412
2,-200,14,0,1116,202,779,180,1602,32,330
2,-200,14,0,1117,180,786,162,1579,31,1357
2,-200,16,6,1199,190,699,158,1738,28,2495
2,-200,13,6,1105,207,723,162,1672,26,2815
1,-200,10,2,986,113,776,112,1614,24,2977
1,-200,9,5,958,98,794,104,1648,23,3081
2,-200,11,8,1043,152,727,125,1719,23,
2,-200,13,0,1082,161,694,127,1792,22,3379
1,-200,9,6,963,91,776,95,1661,22,3333
1,6,7,845,57,845,70,1539,704,6,3313
0,-200,2,9,643,-200,1114,-200,1405,22,3181
0,-200,2,6,626,22,1126,33,1406,22,3296
0,-200,4,0,711,41,1018,45,1475,21,3010
0,-200,4,3,725,53,976,56,1471,21,2596
0,-200,5,9,805,92,886,74,1551,22,1751
1,-200,6,8,848,91,859,84,1572,25,487
1,-200,8,8,933,89,799,93,1612,26,9806
1,-200,6,7,843,81,891,97,1511,29,9634
0,-200,6,4,831,66,946,83,1473,31,8391
0,-200,6,0,812,53,982,71,1416,32,9081
0,-200,6,0,811,61,997,78,1409,33,8599
0,-200,5,0,766,48,1071,62,1323,33,8624
0,-200,4,4,731,39,1108,54,1323,33,9064
0,-200,4,4,732,41,1118,59,1303,32,13
0,-200,5,5,786,48,1064,69,1328,31,1228
0,-200,5,8,803,50,1032,67,1363,30,1929
0,-200,5,3,778,51,978,58,1387,27,2290
1,-200,8,0,900,70,856,77,1559,26,2317
1,-200,7,2,866,89,866,94,1551,24,2299
1,-200,8,0,899,100,846,97,1588,23,
1,-200,10,4,993,139,781,110,1682,23,1965
2,-200,11,6,1035,176,751,116,1713,22,
1,6,4,831,71,880,74,1513,789,6,2041
0,-200,4,1,716,37,994,51,1423,22,2119
1,6,4,830,-200,875,-200,1548,785,4,2189
0,-200,2,7,636,30,1092,40,1387,20,2470
0,-200,2,6,628,29,1136,36,1385,20,2596
0,-200,2,3,606,25,1152,35,1369,21,2334
0,-200,3,1,656,40,1080,48,1427,20,2433
0,-200,3,1,659,32,1077,38,1402,23,1116
0,-200,4,0,709,43,1027,54,1442,25,489
0,-200,4,6,741,44,983,57,1486,27,366
0,-200,3,9,703,35,1034,54,1380,29,9488
0,-200,3,8,697,32,1070,46,1371,29,9220
0,-200,2,8,636,21,1185,36,1321,31,8758
0,-200,2,5,619,10,1254,19,1272,32,9273
0,-200,3,0,651,22,1206,34,1282,32,9831
0,-200,4,7,751,46,1064,63,1327,33,9480
0,-200,5,0,765,66,1029,86,1359,32,9815
0,-200,4,5,736,49,1077,65,1347,29,684
1,-200,7,7,885,86,892,101,1467,26,2104
1,-200,9,7,967,111,818,116,1565,25,1962
1,-200,11,0,1015,143,757,124,1651,24,1244
2,-200,11,8,1042,184,733,136,1700,23,1198
1,-200,8,7,929,134,805,108,1615,22,1482
0,-200,7,5,879,78,837,82,1550,21,1491
0,-200,5,7,800,50,911,68,1478,20,
0,-200,2,0,581,13,1204,22,1323,21,1967
0,-200,1,4,540,-200,1269,-200,1303,22,2076
-200,1,8,568,24,1200,34,1331,501,9,2278
0,-200,3,3,672,43,1053,43,1423,20,2452
1,-200,9,4,955,146,758,84,1671,18,1867
3,-200,21,1,1328,333,567,108,2085,19,1172
3,-200,17,2,1217,298,625,112,1945,21,763
1,-200,8,5,922,178,820,104,1586,21,479
1,-200,6,8,849,177,907,107,1496,23,9812
1,-200,7,4,875,172,891,102,1525,25,966
2,-200,12,1,1052,183,779,104,1690,28,1509
2,-200,9,6,963,164,835,96,1592,27,222
1,-200,7,4,873,122,868,80,1550,24,708
1,-200,6,4,831,105,888,72,1514,26,187
1,-200,8,3,912,144,842,106,1551,24,282
3,-200,14,0,1117,220,693,119,1762,24,9768
3,-200,15,3,1159,207,686,119,1782,23,9880
3,-200,15,4,1161,210,682,128,1797,23,9686
2,-200,10,9,1009,175,786,112,1625,23,9596
1,-200,7,5,877,117,890,95,1488,22,930
1,-200,5,2,773,93,991,85,1414,21,
1,-200,7,1,863,118,911,101,1493,20,1170
1,-200,7,6,883,132,837,94,1563,19,1000
1,5,0,764,88,932,76,1476,922,3,1042
0,-200,2,0,587,43,1165,50,1353,18,629
0,-200,1,5,544,-200,1274,-200,1315,18,515
0,-200,2,5,620,44,1102,51,1372,16,
0,-200,3,3,670,50,1070,42,1365,16,
1,-200,7,3,871,101,871,62,1528,16,859
4,23,8,1398,339,567,111,2120,1494,3,138
5,27,6,1495,379,524,129,2245,1647,2,8634
3,-200,16,7,1200,321,648,135,1821,21,7913
2,-200,14,3,1126,272,711,139,1656,26,7158
2,-200,13,3,1094,278,769,134,1629,31,
2,-200,14,5,1133,253,773,141,1619,33,8157
2,-200,11,5,1031,187,857,112,1469,34,8054
2,10,8,1007,149,870,105,1448,794,8,8523
1,-200,6,4,830,89,995,72,1339,30,9364
1,-200,8,8,931,124,876,90,1460,28,9495
2,-200,14,3,1127,206,760,126,1635,31,9670
3,-200,19,4,1279,241,662,154,1840,32,9484
4,-200,27,1,1483,303,586,173,2092,28,9008
4,-200,19,7,1289,294,634,162,1884,27,9316
2,-200,13,6,1105,203,737,128,1666,26,9685
2,-200,12,1,1054,176,768,120,1592,25,9406
1,-200,11,0,1014,155,788,111,1585,24,126
1,-200,8,8,930,108,840,89,1522,23,83
1,-200,6,7,846,72,925,69,1448,23,91
0,-200,6,3,824,65,905,70,1469,22,505
0,-200,4,1,716,-200,994,-200,1380,20,624
0,-200,2,9,645,39,1076,59,1334,20,710
0,-200,5,0,762,79,942,73,1444,18,980
1,-200,9,9,973,140,769,89,1616,18,706
4,-200,27,5,1492,427,527,142,2194,19,9616
4,-200,30,4,1561,366,498,145,2357,22,8627
3,-200,19,8,1290,311,606,156,1913,24,8381
2,-200,15,7,1171,275,711,148,1717,30,
1,-200,11,3,1026,195,851,122,1523,33,
1,-200,12,6,1069,144,819,106,1547,35,7767
2,11,9,1045,162,829,106,1525,884,1,7946
2,14,4,1131,200,800,127,1612,968,7,7773
2,-200,12,4,1063,176,848,113,1539,35,
2,-200,11,7,1041,203,865,136,1496,32,8753
3,-200,18,4,1252,237,739,153,1729,36,
4,22,9,1374,263,676,172,1795,1225,8,9748
4,-200,25,0,1430,300,636,190,1901,32,9238
3,15,5,1163,189,717,160,1705,1139,7,9508
2,-200,16,7,1200,185,686,159,1753,27,271
1,-200,11,2,1023,134,787,123,1552,26,968
1,-200,9,0,939,96,849,101,1488,25,972
2,-200,12,1,1053,122,744,116,1631,24,1146
1,-200,8,9,937,64,802,80,1566,23,
0,-200,3,7,695,30,1033,51,1355,23,1493
0,-200,3,1,656,-200,1070,-200,1332,22,1641
-200,2,5,621,23,1105,37,1303,562,6,2119
0,-200,3,1,660,36,1033,46,1342,21,
0,-200,5,7,796,58,912,64,1454,21,3721
2,-200,15,6,1166,168,652,108,1827,21,3818
4,25,2,1434,306,526,151,2239,1494,9,3180
2,-200,15,4,1160,231,630,153,1927,24,
1,-200,8,4,914,157,796,116,1665,27,
1,-200,8,0,899,132,822,116,1563,31,724
2,12,1,1052,136,736,130,1677,882,4,
2,12,6,1071,127,742,131,1619,840,7,887
1,-200,10,6,998,125,810,131,1554,36,888
2,12,6,1069,138,773,135,1646,880,1,275
2,-200,14,3,1127,163,734,152,1694,36,9763
3,-200,20,3,1306,259,648,198,1886,35,144
3,-200,20,5,1309,236,655,183,1845,33,9981
3,-200,22,1,1355,245,628,175,1879,30,285
4,-200,23,8,1399,344,592,193,1940,28,807
2,-200,14,7,1139,188,696,140,1699,26,852
2,-200,15,1,1152,149,693,128,1730,25,
1,-200,10,8,1006,102,779,100,1589,24,760
1,-200,10,2,985,99,779,97,1572,24,729
1,6,5,834,48,904,67,1440,767,8,762
0,-200,3,9,706,36,1021,58,1360,23,1000
0,-200,2,8,641,-200,1114,-200,1319,22,1088
0,-200,2,1,593,30,1155,45,1291,21,1419
0,-200,3,4,677,56,1048,62,1379,20,2470
0,-200,4,7,747,51,961,59,1384,20,4452
2,-200,15,8,1174,172,667,102,1819,20,
4,-200,26,6,1470,316,520,154,2276,22,2325
3,-200,14,8,1143,269,632,157,1860,24,647
2,9,3,950,196,802,138,1593,1040,8,45
2,-200,12,0,1049,206,749,142,1701,32,9099
2,-200,10,9,1012,156,795,125,1548,34,119
2,-200,11,9,1047,120,769,120,1578,36,828
2,-200,13,2,1092,161,764,150,1606,37,840
1,-200,8,9,937,114,833,120,1473,38,
2,-200,13,0,1084,191,754,173,1648,38,303
3,-200,18,2,1245,236,665,187,1782,37,879
4,23,7,1395,287,606,206,1914,1411,9,665
4,-200,21,6,1341,266,628,187,1881,32,671
4,-200,21,6,1341,274,626,170,1937,30,918
2,-200,16,5,1195,196,690,149,1762,28,1302
2,-200,12,3,1060,144,748,124,1629,26,1306
2,-200,13,6,1103,142,695,119,1686,25,1363
2,-200,12,8,1078,124,685,108,1673,24,1353
1,-200,9,4,956,93,765,93,1581,23,1471
1,-200,8,3,910,71,816,77,1552,22,1510
1,-200,6,7,842,-200,863,-200,1489,21,1608
0,-200,4,6,746,56,919,76,1415,21,1585
0,-200,3,6,689,46,988,58,1367,21,
0,-200,5,0,764,51,917,63,1430,21,1980
1,-200,8,2,908,83,793,75,1546,21,1835
2,10,7,1004,175,713,111,1628,1302,8,664
1,-200,10,3,990,148,734,116,1633,25,576
2,-200,12,9,1080,167,714,138,1675,30,9715
1,-200,11,0,1015,120,775,117,1543,35,
1,-200,8,3,913,78,840,94,1428,36,
1,-200,8,2,907,76,862,91,1427,39,124
1,5,2,772,45,1001,60,1308,516,3,828
1,4,6,743,54,1039,66,1282,500,7,757
1,-200,7,2,868,70,884,87,1435,41,73
1,-200,9,4,954,87,809,106,1512,40,
1,-200,8,0,901,69,849,94,1464,37,9926
2,-200,10,7,1003,95,787,112,1524,34,252
2,9,6,962,107,810,120,1496,879,7,402
1,-200,8,7,927,88,830,106,1475,29,826
2,-200,11,6,1035,100,746,112,1611,27,1199
2,-200,11,8,1043,125,717,120,1644,26,1398
2,-200,10,5,995,132,727,114,1591,25,1158
1,-200,5,5,790,57,869,70,1422,26,
1,-200,5,5,790,46,871,64,1447,24,1246
0,-200,3,8,701,-200,971,-200,1381,24,1319
-200,2,9,648,34,1023,55,1338,666,3,1405
0,-200,3,4,674,33,974,50,1355,21,8372
0,-200,4,1,716,50,915,62,1415,20,1292
0,-200,4,1,718,39,927,53,1395,21,842
0,-200,4,7,750,84,893,85,1417,22,9727
0,-200,7,1,862,93,786,102,1519,25,9728
0,-200,7,4,872,82,831,97,1481,31,9639
0,-200,7,3,868,73,889,91,1407,36,8983
0,-200,4,2,723,43,1035,62,1263,37,9252
0,-200,4,1,716,39,1060,57,1252,39,9282
0,-200,3,8,698,27,1132,40,1234,40,9953
0,-200,5,8,802,46,968,60,1383,41,458
0,-200,5,6,792,53,977,70,1356,41,522
0,-200,4,8,754,38,1003,53,1325,40,469
0,-200,5,3,780,39,974,54,1374,37,160
0,-200,6,1,814,49,929,58,1399,33,630
0,-200,7,4,873,68,874,73,1464,31,1249
1,-200,9,0,938,102,825,99,1520,29,1396
1,-200,11,7,1040,123,745,102,1635,29,1235
1,-200,11,0,1014,106,728,101,1628,27,1338
0,-200,6,0,814,66,855,77,1448,28,
0,-200,4,3,730,43,944,55,1393,26,1317
0,-200,2,8,642,33,1031,51,1343,26,1501
-200,2,3,604,-200,1090,-200,1317,625,7,1720
0,-200,2,9,649,33,1022,50,1374,22,1826
0,-200,4,1,717,75,936,75,1455,21,2215
0,-200,8,3,912,111,758,89,1604,21,2310
2,-200,16,6,1197,250,599,112,1906,22,1886
3,-200,25,6,1443,313,508,142,2234,25,945
2,-200,17,7,1230,263,594,145,1924,27,
2,-200,16,2,1187,282,633,165,1842,32,
2,-200,15,1,1153,226,678,159,1732,36,
-200,14,3,1127,176,709,159,1678,1194,1,
-200,10,8,1007,120,777,131,1534,880,2,
-200,10,1,982,96,799,123,1523,748,5,
-200,10,9,1012,115,777,129,1523,868,4,
-200,11,0,1014,108,761,126,1533,959,5,
-200,16,8,1205,142,658,149,1781,1160,6,
-200,20,7,1316,219,586,200,1911,1453,7,
-200,19,5,1283,193,610,174,1863,1400,3,
-200,14,6,1136,128,658,131,1737,1265,7,
-200,14,3,1127,127,664,135,1761,1366,2,
-200,15,9,1177,132,628,134,1820,1593,4,
-200,10,3,988,77,728,96,1619,1336,2,
-200,8,8,931,72,762,94,1576,1317,6,
-200,6,8,850,57,802,79,1531,1173,2,
-200,6,3,827,56,827,79,1513,1163,4,
-200,3,9,708,-200,924,-200,1440,1012,2,
-200,4,1,717,64,879,89,1481,1164,4,
-200,4,7,747,52,856,69,1493,1090,1,
-200,9,9,974,122,683,91,1716,1338,9,
-200,24,8,1424,314,499,135,2257,1808,8,
-200,37,3,1713,395,412,166,2643,2176,0,
-200,26,2,1460,357,494,189,2238,2028,4,
-200,21,6,1342,308,567,193,2002,1758,8,
-200,16,1,1181,184,645,164,1747,1350,1,
-200,13,0,1083,128,685,139,1632,1060,9,
-200,13,4,1096,125,713,130,1615,954,8,
-200,13,7,1106,135,727,129,1615,1024,7,
-200,14,0,1117,158,714,132,1625,1092,8,
-200,10,4,994,106,771,101,1544,927,4,
-200,17,5,1225,163,632,145,1796,1274,3,
-200,12,9,1082,143,685,133,1662,978,3,
-200,14,9,1145,96,648,110,1753,1050,7,
-200,15,5,1164,127,638,126,1793,1301,6,
-200,11,2,1022,95,695,102,1644,1141,9,
-200,14,3,1126,104,644,104,1782,1252,1,
-200,14,2,1124,131,645,112,1799,1300,0,
-200,10,0,978,92,733,89,1683,1193,3,
-200,7,6,881,53,784,67,1574,1081,6,
-200,5,8,801,45,816,63,1545,1094,8,
-200,3,1,656,-200,967,-200,1440,917,4,
-200,2,7,635,19,1006,34,1421,727,3,
-200,5,4,782,75,828,73,1562,1116,3,
-200,7,3,869,84,751,76,1634,1223,1,
-200,18,4,1250,160,562,102,1999,1556,2,
-200,27,7,1495,286,471,140,2405,1904,8,
-200,16,9,1207,212,576,150,1951,1697,1,
-200,22,1,1354,279,545,194,2063,1854,9,
-200,17,0,1209,207,656,162,1770,1306,0,
-200,12,4,1063,140,736,138,1571,980,9,
-200,11,5,1031,110,741,123,1561,870,4,
-200,7,5,880,67,865,86,1421,613,1,
-200,10,3,989,98,778,107,1537,819,0,3413
-200,10,2,984,97,767,106,1532,868,7,4949
-200,11,5,1032,87,733,99,1576,876,6,5079
4,-200,17,0,1210,124,623,140,1813,39,4831
3,-200,21,5,1339,165,544,163,1998,36,5034
3,-200,18,6,1256,164,593,144,1914,33,5370
2,-200,15,3,1158,122,628,120,1837,31,5929
3,-200,17,0,1211,134,602,120,1917,30,6080
3,-200,14,4,1129,121,637,106,1839,28,5947
2,-200,13,6,1103,112,627,95,1866,27,6210
1,-200,9,6,963,62,713,70,1719,26,
1,-200,6,4,832,50,794,67,1580,26,5755
0,-200,4,8,754,-200,842,-200,1545,25,5418
1,5,4,781,72,796,70,1595,1181,8,5593
0,-200,4,1,715,48,867,50,1527,24,
1,-200,6,3,826,58,781,60,1627,25,
4,-200,26,9,1476,306,469,127,2388,24,5614
-200,35,6,1678,351,410,149,2662,2105,4,4373
-200,17,5,1225,252,551,158,2003,1826,1,3849
3,-200,19,9,1294,266,555,190,2031,34,
2,-200,12,6,1070,159,682,127,1735,37,2003
2,-200,14,0,1118,144,658,130,1742,40,1830
2,12,2,1055,117,712,125,1624,1028,0,1684
1,-200,11,1,1019,108,749,113,1559,42,2882
2,-200,14,3,1126,153,693,143,1654,44,3680
2,-200,15,1,1151,166,680,157,1686,44,
2,-200,18,6,1258,179,629,170,1813,43,3680
3,-200,22,0,1352,225,569,187,1990,40,4433
4,23,0,1377,261,567,181,2017,1515,1,5144
3,-200,21,1,1327,228,575,158,1996,34,5581
2,-200,15,0,1148,137,639,112,1849,32,4921
2,-200,13,6,1105,116,643,100,1838,30,4835
2,-200,14,6,1135,143,625,105,1887,29,4803
2,-200,16,3,1189,157,592,107,1917,28,4953
1,-200,8,8,933,72,743,72,1658,27,4801
0,-200,6,0,813,42,846,59,1544,28,4852
0,-200,5,5,790,-200,826,-200,1564,24,
0,-200,3,9,706,34,891,55,1500,25,4593
0,-200,5,8,802,74,806,70,1597,23,4675
1,8,2,906,75,743,59,1707,1158,1,4866
2,-200,20,1,1299,199,519,95,2116,24,5071
3,-200,25,5,1441,262,470,120,2283,26,4369
3,-200,21,6,1340,236,519,133,2141,29,2721
2,-200,15,5,1166,186,626,133,1925,34,1920
1,-200,11,2,1021,132,712,120,1670,37,2173
2,-200,15,4,1160,140,671,132,1784,40,1803
2,-200,14,6,1137,143,691,135,1696,42,1681
1,-200,12,5,1066,99,725,121,1621,41,2701
1,-200,12,3,1059,107,733,123,1622,43,
1,-200,13,2,1091,130,723,129,1638,42,3924
2,-200,14,7,1140,133,682,129,1746,41,4121
3,19,9,1295,188,600,156,1990,1280,7,4257
2,-200,19,1,1271,155,606,131,1971,35,4431
2,-200,14,8,1144,154,651,115,1832,33,4680
1,-200,8,6,922,95,784,79,1634,30,4682
1,-200,11,0,1014,110,712,86,1744,29,5030
1,-200,13,0,1084,116,655,91,1831,28,5119
2,-200,15,2,1156,153,621,99,1897,27,5269
1,-200,12,1,1052,111,649,83,1785,27,5266
1,-200,9,9,973,79,695,74,1748,26,5881
0,-200,6,0,810,-200,820,-200,1599,25,5243
0,-200,6,3,825,47,774,64,1602,25,
0,-200,5,5,789,61,810,61,1597,24,7419
0,-200,5,8,803,56,806,62,1586,24,7480
1,8,1,902,69,733,65,1715,1055,2,6798
1,-200,10,0,979,109,677,79,1829,26,5990
1,-200,9,9,976,111,672,90,1800,28,6951
2,-200,13,1,1088,150,636,116,1883,32,7970
1,-200,9,2,946,87,737,89,1686,36,8370
1,-200,6,7,843,64,799,68,1628,37,8087
1,-200,6,5,833,47,804,53,1623,38,6970
0,-200,3,4,676,34,983,34,1488,35,6452
0,-200,3,8,699,37,982,38,1505,37,5900
1,-200,5,2,775,49,899,53,1547,36,5745
1,-200,6,0,814,54,858,62,1545,35,5776
1,-200,6,0,812,70,866,82,1563,32,6316
1,-200,5,6,791,76,875,88,1549,29,6308
1,-200,4,4,735,59,932,70,1494,28,6573
0,-200,3,7,697,44,983,53,1475,27,42
1,-200,5,0,762,47,870,57,1557,27,8495
1,-200,7,1,859,71,790,73,1673,27,7390
1,-200,7,9,893,90,706,83,1760,23,6541
